Year,Month,Minimum Monthly Rainfall(mm),Maximum Monthly Rainfall(mm),Total Rainfall(mm)
1978,1,0.00,150.50,181.50
1978,2,0.00,50.60,257.40
1978,3,0.00,27.60,190.80
1978,4,0.00,39.00,121.70
1978,5,0.00,25.80,117.80
1978,6,0.00,1.80,4.20
1978,7,0.00,4.40,7.60
1978,8,0.00,17.00,51.70
1978,9,0.00,3.20,4.30
1978,10,0.00,47.40,171.40
1978,11,0.00,19.20,76.90
1978,12,0.00,27.20,75.20
1979,1,0.00,390.40,1674.40
1979,2,0.00,145.00,579.40
1979,3,0.00,145.40,362.40
1979,4,0.00,66.60,198.40
1979,5,0.00,9.40,55.90
1979,6,0.00,67.00,110.50
1979,7,0.00,15.40,32.40
1979,8,0.00,21.20,28.80
1979,9,0.00,9.80,24.40
1979,10,0.00,3.60,16.70
1979,11,0.00,5.00,14.00
1979,12,0.00,47.00,72.00
1980,1,0.00,109.20,303.60
1980,2,0.00,134.20,340.80
1980,3,0.00,53.20,231.20
1980,4,0.00,18.60,127.80
1980,5,0.00,22.00,127.40
1980,6,0.00,26.00,91.20
1980,7,0.00,8.40,24.80
1980,8,0.00,17.00,70.60
1980,9,0.00,0.00,0.00
1980,10,0.00,4.20,26.00
1980,11,0.00,51.00,98.60
1980,12,0.00,41.40,137.60
1981,1,0.00,314.00,1557.60
1981,2,0.00,156.60,665.40
1981,3,0.00,97.00,199.40
1981,4,0.00,20.20,114.40
1981,5,0.00,39.00,153.40
1981,6,0.00,5.60,6.80
1981,7,0.00,30.00,58.40
1981,8,0.00,0.40,0.40
1981,9,0.00,17.30,93.30
1981,10,0.00,28.00,65.40
1981,11,0.00,53.60,156.60
1981,12,0.00,21.60,85.70
1982,1,0.00,49.00,181.50
1982,2,0.00,83.00,232.80
1982,3,0.00,43.40,259.80
1982,4,0.00,156.20,503.40
1982,5,0.00,14.40,33.00
1982,6,0.00,14.20,22.60
1982,7,0.00,1.40,1.40
1982,8,0.00,49.20,98.20
1982,9,0.00,14.20,26.20
1982,10,0.00,2.00,2.80
1982,11,0.00,26.20,124.80
1982,12,0.00,22.40,96.00
1983,1,0.00,37.20,89.00
1983,2,0.00,20.80,83.00
1983,3,0.00,210.60,798.20
1983,4,0.00,43.20,141.40
1983,5,0.00,69.00,326.00
1983,6,0.00,4.00,8.60
1983,7,0.00,5.40,15.40
1983,8,0.00,25.00,39.60
1983,9,0.00,38.80,96.00
1983,10,0.00,29.60,34.60
1983,11,0.00,38.60,92.40
1983,12,0.00,47.00,159.00
1984,1,0.00,71.40,275.80
1984,2,0.00,110.00,572.40
1984,3,0.00,151.60,324.00
1984,4,0.00,131.00,172.20
1984,5,0.00,12.80,51.20
1984,6,0.00,10.00,52.20
1984,7,0.00,14.20,44.20
1984,8,0.00,6.60,11.60
1984,9,0.00,4.00,4.00
1984,10,0.00,14.80,46.60
1984,11,0.00,48.00,190.40
1984,12,0.00,42.80,141.60
1985,1,0.00,240.00,608.60
1985,2,0.00,232.20,680.00
1985,3,0.00,234.00,707.20
1985,4,0.00,48.20,184.80
1985,5,0.00,16.00,84.80
1985,6,0.00,6.80,11.40
1985,7,0.00,5.00,10.80
1985,8,0.00,6.60,10.60
1985,9,0.00,23.20,25.00
1985,10,0.00,20.40,50.00
1985,11,0.00,130.00,168.80
1985,12,0.00,32.40,52.00
1986,1,0.00,100.20,424.70
1986,2,0.00,106.00,261.60
1986,3,0.00,56.40,259.20
1986,4,0.00,92.70,276.70
1986,5,0.00,20.40,41.00
1986,6,0.00,44.00,93.60
1986,7,0.00,7.00,15.30
1986,8,0.00,7.60,31.30
1986,9,0.00,9.90,14.50
1986,10,0.00,36.00,74.00
1986,11,0.00,28.40,80.60
1986,12,0.00,44.00,84.00
1987,1,0.00,72.00,193.50
1987,2,0.00,91.50,356.90
1987,3,0.00,53.60,226.00
1987,4,0.00,112.00,315.40
1987,5,0.00,52.60,103.00
1987,6,0.00,31.00,128.80
1987,7,0.00,34.20,55.40
1987,8,0.00,4.60,15.00
1987,9,0.00,24.00,74.00
1987,10,0.00,5.20,9.40
1987,11,0.00,16.20,56.00
1987,12,0.00,68.00,240.00
1988,1,0.00,47.00,99.60
1988,2,0.00,68.20,166.80
1988,3,0.00,72.40,349.40
1988,4,0.00,48.00,81.50
1988,5,0.00,20.40,84.20
1988,6,0.00,16.00,34.40
1988,7,0.00,11.40,47.70
1988,8,0.00,9.00,21.40
1988,9,0.00,77.00,87.50
1988,10,0.00,112.00,114.60
1988,11,0.00,110.00,366.80
1988,12,0.00,164.20,257.40
1989,1,0.00,73.40,238.20
1989,2,0.00,91.60,267.90
1989,3,0.00,97.00,655.40
1989,4,0.00,170.00,606.00
1989,5,0.00,64.60,113.50
1989,6,0.00,36.00,47.20
1989,7,0.00,5.00,7.20
1989,8,0.00,0.00,0.00
1989,9,0.00,0.00,0.00
1989,10,0.00,31.40,62.20
1989,11,0.00,189.20,403.50
1989,12,0.00,106.00,231.40
1990,1,0.00,43.40,123.90
1990,2,0.00,13.20,26.40
1990,3,0.00,163.00,671.60
1990,4,0.00,60.00,306.00
1990,5,0.00,76.00,335.60
1990,6,0.00,52.00,71.60
1990,7,0.00,5.20,14.40
1990,8,0.00,0.00,0.00
1990,9,0.00,0.00,0.00
1990,10,0.00,45.00,47.60
1990,11,0.00,2.60,4.20
1990,12,0.00,226.40,397.00
1991,1,0.00,0.00,0.00
1991,2,0.00,0.00,0.00
1991,3,0.00,0.00,0.00
1991,4,0.00,0.00,0.00
1991,5,0.00,0.00,0.00
1991,6,0.00,0.00,0.00
1991,7,0.00,0.00,0.00
1991,8,0.00,0.00,0.00
1991,9,0.00,0.00,0.00
1991,10,0.00,0.00,0.00
1991,11,0.00,0.00,0.00
1991,12,0.00,0.00,0.00
1992,1,0.00,0.00,0.00
1992,2,0.00,0.00,0.00
1992,3,0.00,0.00,0.00
1992,4,0.00,0.00,0.00
1992,5,0.00,0.00,0.00
1992,6,0.00,0.00,0.00
1992,7,0.00,11.00,52.60
1992,8,0.00,12.00,35.40
1992,9,0.00,6.80,21.30
1992,10,0.00,6.20,19.50
1992,11,0.00,4.80,7.90
1992,12,0.00,53.00,335.00
1993,1,0.00,183.40,412.70
1993,2,0.00,29.00,167.40
1993,3,0.00,9.60,26.20
1993,4,0.00,87.80,339.50
1993,5,0.00,18.60,122.00
1993,6,0.00,18.00,75.00
1993,7,0.00,16.60,104.40
1993,8,0.00,11.00,51.20
1993,9,0.00,68.20,180.80
1993,10,0.00,15.60,27.00
1993,11,0.00,23.20,36.50
1993,12,0.00,49.60,232.60
1994,1,0.00,446.80,553.80
1994,2,0.00,204.60,928.40
1994,3,0.00,16.40,93.20
1994,4,0.00,77.60,272.80
1994,5,0.00,22.00,59.60
1994,6,0.00,34.20,64.80
1994,7,0.00,28.00,126.40
1994,8,0.00,26.60,58.60
1994,9,0.00,14.00,30.40
1994,10,0.00,25.20,40.20
1994,11,0.00,13.00,19.40
1994,12,0.00,15.00,66.80
1995,1,0.00,70.60,137.60
1995,2,0.00,184.00,838.60
1995,3,0.00,186.20,523.00
1995,4,0.00,22.00,44.00
1995,5,0.00,64.60,168.80
1995,6,0.00,28.00,95.00
1995,7,0.00,5.80,6.40
1995,8,0.00,51.80,171.60
1995,9,0.00,3.40,6.80
1995,10,0.00,27.40,104.60
1995,11,0.00,43.00,126.40
1995,12,0.00,24.20,51.40
1996,1,0.00,111.00,397.40
1996,2,0.00,100.00,320.40
1996,3,0.00,173.00,593.40
1996,4,0.00,195.40,240.40
1996,5,0.00,27.20,117.20
1996,6,0.00,42.00,106.60
1996,7,0.00,32.20,45.40
1996,8,0.00,6.00,7.20
1996,9,0.00,4.00,4.00
1996,10,0.00,144.00,229.20
1996,11,0.00,15.00,43.20
1996,12,0.00,82.40,222.00
1997,1,0.00,116.00,505.80
1997,2,0.00,102.80,435.00
1997,3,0.00,176.00,342.20
1997,4,0.00,24.20,104.20
1997,5,0.00,10.20,43.60
1997,6,0.00,21.00,65.20
1997,7,0.00,7.20,18.80
1997,8,0.00,14.00,50.80
1997,9,0.00,0.00,0.00
1997,10,0.00,15.00,44.40
1997,11,0.00,127.00,181.20
1997,12,0.00,79.00,381.60
1998,1,0.00,151.60,466.00
1998,2,0.00,129.40,395.20
1998,3,0.00,71.40,196.80
1998,4,0.00,40.60,173.00
1998,5,0.00,32.20,166.00
1998,6,0.00,15.00,30.80
1998,7,0.00,7.20,37.20
1998,8,0.00,56.40,66.40
1998,9,0.00,20.00,112.00
1998,10,0.00,13.00,53.80
1998,11,0.00,36.20,147.60
1998,12,0.00,59.80,239.00
1999,1,0.00,105.00,326.60
1999,2,0.00,300.00,636.60
1999,3,0.00,165.60,916.00
1999,4,0.00,127.20,406.00
1999,5,0.00,4.80,23.20
1999,6,0.00,10.00,34.40
1999,7,0.00,66.20,70.80
1999,8,0.00,32.40,66.20
1999,9,0.00,43.00,132.00
1999,10,0.00,15.00,42.00
1999,11,0.00,40.80,226.20
1999,12,0.00,31.20,205.60
2000,1,0.00,62.60,159.60
2000,2,0.00,208.00,1190.20
2000,3,0.00,116.00,484.20
2000,4,0.00,160.20,604.60
2000,5,0.00,46.00,76.60
2000,6,0.00,6.60,32.00
2000,7,0.00,6.80,11.80
2000,8,0.00,32.00,55.00
2000,9,0.00,1.80,4.20
2000,10,0.00,12.00,45.10
2000,11,0.00,63.50,217.70
2000,12,0.00,138.00,461.10
2001,1,0.00,110.00,258.00
2001,2,0.00,187.00,787.10
2001,3,0.00,45.00,187.80
2001,4,0.00,65.40,210.40
2001,5,0.00,3.00,5.00
2001,6,0.00,12.50,97.80
2001,7,0.00,3.00,6.80
2001,8,0.00,4.00,6.70
2001,9,0.00,8.00,23.00
2001,10,0.00,61.20,87.40
2001,11,0.00,55.00,71.60
2001,12,0.00,58.00,81.80
2002,1,0.00,0.00,0.00
2002,2,0.00,0.00,0.00
2002,3,0.00,21.00,103.00
2002,4,0.00,41.00,155.70
2002,5,0.00,26.00,108.60
2002,6,0.00,2.00,2.00
2002,7,0.00,5.00,11.10
2002,8,0.00,19.00,41.80
2002,9,0.00,6.00,12.40
2002,10,0.00,0.00,0.00
2002,11,0.00,15.00,42.40
2002,12,0.00,30.00,62.20
2003,1,0.00,113.00,258.60
2003,2,0.00,27.00,162.80
