Year,Month,Minimum Monthly Rainfall(mm),Maximum Monthly Rainfall(mm),Total Rainfall(mm)
1999,1,0.00,0.00,0.00
1999,2,0.00,0.00,0.00
1999,3,0.00,0.00,0.00
1999,4,0.00,0.00,0.00
1999,5,0.00,0.00,0.00
1999,6,0.00,15.20,37.40
1999,7,0.00,28.00,58.60
1999,8,0.00,25.60,53.20
1999,9,0.00,22.40,72.60
1999,10,0.00,17.00,35.40
1999,11,0.00,26.40,218.40
1999,12,0.00,35.70,165.90
2000,1,0.00,72.60,171.60
2000,2,0.00,209.40,1380.80
2000,3,0.00,277.00,661.00
2000,4,0.00,197.00,560.60
2000,5,0.00,29.40,50.40
2000,6,0.00,5.20,23.50
2000,7,0.00,8.40,9.60
2000,8,0.00,24.80,71.00
2000,9,0.00,3.70,8.30
2000,10,0.00,18.60,48.60
2000,11,0.00,44.60,235.20
2000,12,0.00,155.40,481.80
2001,1,0.00,96.20,285.20
2001,2,0.00,197.20,892.60
2001,3,0.00,41.00,194.40
2001,4,0.00,112.60,240.20
2001,5,0.00,2.20,2.20
2001,6,0.00,18.60,86.20
2001,7,0.00,2.60,4.40
2001,8,0.00,4.00,11.40
2001,9,0.00,9.60,35.00
2001,10,0.00,60.60,101.80
2001,11,0.00,63.80,115.60
2001,12,0.00,53.60,71.00
2002,1,0.00,37.80,189.40
2002,2,0.00,95.40,299.40
2002,3,0.00,25.20,75.00
2002,4,0.00,37.60,147.80
2002,5,0.00,13.20,68.00
2002,6,0.00,1.00,1.00
2002,7,0.00,2.80,4.60
2002,8,0.00,20.00,67.80
2002,9,0.00,3.20,8.20
2002,10,0.00,0.40,0.40
2002,11,0.00,6.20,16.80
2002,12,0.00,15.60,71.80
2003,1,0.00,188.20,372.80
2003,2,0.00,28.20,148.60
2003,3,0.00,73.60,214.40
2003,4,0.00,83.40,197.60
2003,5,0.00,25.20,117.40
2003,6,0.00,19.80,60.80
2003,7,0.00,10.80,35.80
2003,8,0.00,7.40,22.20
2003,9,0.00,2.40,7.40
2003,10,0.00,6.60,15.60
2003,11,0.00,6.20,31.00
2003,12,0.00,51.40,251.20
2004,1,0.00,169.60,330.80
2004,2,0.00,118.60,642.00
2004,3,0.00,172.60,979.20
2004,4,0.00,94.80,366.40
2004,5,0.00,31.20,48.80
2004,6,0.00,14.20,41.00
2004,7,0.00,18.60,36.40
2004,8,0.00,0.80,0.80
2004,9,0.00,16.20,36.40
2004,10,0.00,17.00,31.20
2004,11,0.00,33.20,77.20
2004,12,0.00,99.40,325.40
2005,1,0.00,113.80,503.80
2005,2,0.00,81.80,168.60
2005,3,0.00,286.80,525.60
2005,4,0.00,34.20,259.80
2005,5,0.00,7.80,24.60
2005,6,0.00,10.80,45.20
2005,7,0.00,18.40,76.60
2005,8,0.00,16.20,82.40
2005,9,0.00,3.20,6.40
2005,10,0.00,8.00,21.20
2005,11,0.00,12.60,29.00
2005,12,0.00,36.20,102.80
2006,1,0.00,63.60,395.20
2006,2,0.00,119.00,296.20
2006,3,0.00,173.20,715.60
2006,4,0.00,233.60,646.60
2006,5,0.00,36.80,78.60
2006,6,0.00,40.20,88.20
2006,7,0.00,20.40,81.40
2006,8,0.00,7.80,15.80
2006,9,0.00,62.60,112.60
2006,10,0.00,24.00,97.80
2006,11,0.00,8.80,20.40
2006,12,0.00,19.00,112.00
2007,1,0.00,72.20,263.00
2007,2,0.00,198.40,845.20
2007,3,0.00,127.60,335.00
2007,4,0.00,13.20,77.40
2007,5,0.00,24.80,126.40
2007,6,0.00,15.20,74.40
2007,7,0.00,9.40,20.40
2007,8,0.00,3.80,20.20
2007,9,0.00,6.60,7.60
2007,10,0.00,38.20,76.00
2007,11,0.00,16.00,75.40
2007,12,0.00,54.60,228.20
2008,1,0.00,201.20,577.60
2008,2,0.00,122.20,670.60
2008,3,0.00,264.20,976.80
2008,4,0.00,7.80,22.00
2008,5,0.00,21.20,52.80
2008,6,0.00,8.40,22.40
2008,7,0.00,30.80,77.20
2008,8,0.00,2.00,4.80
2008,9,0.00,11.80,42.00
2008,10,0.00,30.60,70.60
2008,11,0.00,69.20,123.20
2008,12,0.00,27.80,61.80
2009,1,0.00,225.40,941.20
2009,2,0.00,123.40,620.60
2009,3,0.00,73.80,169.00
2009,4,0.00,48.20,155.40
2009,5,0.00,19.80,100.40
2009,6,0.00,11.40,16.60
2009,7,0.00,2.20,7.60
2009,8,0.00,1.60,4.20
2009,9,0.00,1.20,2.80
2009,10,0.00,31.80,61.00
2009,11,0.00,120.00,294.80
2009,12,0.00,18.40,96.40
2010,1,0.00,96.40,663.60
2010,2,0.00,53.80,224.60
2010,3,0.00,122.40,464.80
2010,4,0.00,253.20,343.20
2010,5,0.00,12.60,38.00
2010,6,0.00,9.20,14.60
2010,7,0.00,10.40,38.20
2010,8,0.00,32.00,74.00
2010,9,0.00,43.60,141.00
2010,10,0.00,40.40,255.00
2010,11,0.00,57.60,267.80
2010,12,0.00,101.60,446.40
2011,1,0.00,111.00,601.40
2011,2,0.00,182.20,991.40
2011,3,0.00,145.20,520.20
2011,4,0.00,14.40,58.00
2011,5,0.00,3.40,11.60
2011,6,0.00,60.60,84.80
2011,7,0.00,7.40,13.20
2011,8,0.00,5.60,19.60
2011,9,0.00,8.60,16.60
