Year,Month,Minimum Monthly Rainfall(mm),Maximum Monthly Rainfall(mm),Total Rainfall(mm)
1972,1,0.00,0.00,0.00
1972,2,0.00,0.00,0.00
1972,3,0.00,0.00,0.00
1972,4,0.00,0.00,0.00
1972,5,0.00,0.00,0.00
1972,6,0.00,0.00,0.00
1972,7,0.00,0.00,0.00
1972,8,0.00,0.00,0.00
1972,9,0.00,10.40,27.70
1972,10,0.00,0.00,0.00
1972,11,0.00,30.00,84.10
1972,12,0.00,68.30,81.30
1973,1,0.00,131.30,420.90
1973,2,0.00,63.80,456.30
1973,3,0.00,71.10,264.60
1973,4,0.00,33.00,127.40
1973,5,0.00,12.70,30.30
1973,6,0.00,9.10,9.10
1973,7,0.00,12.20,12.20
1973,8,0.00,13.20,16.50
1973,9,0.00,24.10,88.90
1973,10,0.00,92.70,106.00
1973,11,0.00,23.90,110.30
1973,12,0.00,74.90,433.50
1974,1,0.00,146.00,1375.40
1974,2,0.00,102.00,826.00
1974,3,0.00,80.00,343.00
1974,4,0.00,27.00,126.50
1974,5,0.00,32.00,91.00
1974,6,0.00,0.00,0.00
1974,7,0.00,0.00,0.00
1974,8,0.00,15.00,65.00
1974,9,0.00,4.50,4.50
1974,10,0.00,26.40,59.80
1974,11,0.00,127.60,232.60
1974,12,0.00,82.80,165.40
1975,1,0.00,88.60,319.40
1975,2,0.00,107.20,245.00
1975,3,0.00,145.00,550.60
1975,4,0.00,0.00,0.00
1975,5,0.00,0.00,0.00
1975,6,0.00,0.00,0.00
1975,7,0.00,0.00,0.00
1975,8,0.00,0.00,0.00
1975,9,0.00,0.00,0.00
1975,10,0.00,26.80,27.00
1975,11,0.00,16.60,32.90
1975,12,0.00,245.10,1111.30
1976,1,0.00,78.20,331.00
1976,2,0.00,125.80,746.80
1976,3,0.00,141.80,594.60
1976,4,0.00,31.80,91.60
1976,5,0.00,10.80,23.20
1976,6,0.00,17.60,24.40
1976,7,0.00,0.00,0.00
1976,8,0.00,0.00,0.00
1976,9,0.00,5.20,7.00
1976,10,0.00,152.80,194.80
1976,11,0.00,94.60,169.60
1976,12,0.00,317.40,636.40
1977,1,0.00,169.00,536.70
1977,2,0.00,80.00,350.80
1977,3,0.00,80.00,404.20
1977,4,0.00,56.40,290.80
1977,5,0.00,129.00,381.80
1977,6,0.00,0.00,0.00
1977,7,0.00,0.00,0.00
1977,8,0.00,5.40,15.00
1977,9,0.00,12.20,16.00
1977,10,0.00,8.00,13.80
1977,11,0.00,53.80,143.60
1977,12,0.00,103.00,157.40
1978,1,0.00,148.00,566.20
1978,2,0.00,181.40,335.20
1978,3,0.00,65.20,154.80
1978,4,0.00,69.40,284.40
1978,5,0.00,27.00,78.70
1978,6,0.00,5.80,14.00
1978,7,0.00,11.80,20.00
1978,8,0.00,14.00,40.60
1978,9,0.00,26.00,55.80
1978,10,0.00,17.40,111.10
1978,11,0.00,25.00,81.60
1978,12,0.00,35.20,143.80
1979,1,0.00,271.00,631.20
1979,2,0.00,37.20,249.80
1979,3,0.00,95.00,474.10
1979,4,0.00,44.20,103.30
1979,5,0.00,7.40,20.40
1979,6,0.00,27.40,52.60
1979,7,0.00,6.40,15.80
1979,8,0.00,1.20,1.60
1979,9,0.00,4.20,10.20
1979,10,0.00,31.00,69.60
1979,11,0.00,13.80,14.20
1979,12,0.00,61.20,129.70
1980,1,0.00,247.60,516.80
1980,2,0.00,46.80,194.90
1980,3,0.00,86.80,337.40
1980,4,0.00,38.20,95.20
1980,5,0.00,36.00,91.80
1980,6,0.00,35.20,55.60
1980,7,0.00,4.60,7.00
1980,8,0.00,1.60,3.80
1980,9,0.00,3.80,7.60
1980,10,0.00,11.00,16.20
1980,11,0.00,16.00,45.20
1980,12,0.00,33.60,168.40
1981,1,0.00,400.00,1457.00
1981,2,0.00,134.00,772.00
1981,3,0.00,43.00,98.50
1981,4,0.00,15.60,68.40
1981,5,0.00,154.60,196.10
1981,6,0.00,10.00,12.00
1981,7,0.00,11.00,34.70
1981,8,0.00,23.00,23.00
1981,9,0.00,3.80,8.40
1981,10,0.00,27.80,101.10
1981,11,0.00,191.00,376.20
1981,12,0.00,17.20,73.70
1982,1,0.00,138.00,302.20
1982,2,0.00,61.80,259.70
1982,3,0.00,40.20,166.20
1982,4,0.00,26.60,103.60
1982,5,0.00,28.60,50.60
1982,6,0.00,16.00,18.60
1982,7,0.00,16.20,40.70
1982,8,0.00,2.00,2.00
1982,9,0.00,38.00,66.60
1982,10,0.00,0.80,0.80
1982,11,0.00,7.00,22.20
1982,12,0.00,30.80,121.60
1983,1,0.00,25.60,139.00
1983,2,0.00,17.40,52.20
1983,3,0.00,302.40,1092.60
1983,4,0.00,83.40,337.20
1983,5,0.00,32.80,111.00
1983,6,0.00,33.60,60.80
1983,7,0.00,1.60,3.00
1983,8,0.00,3.20,4.40
1983,9,0.00,2.30,5.60
1983,10,0.00,27.80,37.00
1983,11,0.00,161.00,352.40
1983,12,0.00,10.00,54.20
1984,1,0.00,76.00,421.30
1984,2,0.00,171.00,588.60
1984,3,0.00,46.00,195.40
1984,4,0.00,35.80,48.60
1984,5,0.00,10.60,23.00
1984,6,0.00,4.00,7.00
1984,7,0.00,22.20,63.80
1984,8,0.00,3.20,11.00
1984,9,0.00,19.40,19.40
1984,10,0.00,8.00,18.60
1984,11,0.00,35.60,109.60
1984,12,0.00,45.00,106.40
1985,1,0.00,54.60,118.40
1985,2,0.00,131.00,424.70
1985,3,0.00,96.00,184.40
1985,4,0.00,89.00,122.20
1985,5,0.00,12.00,56.20
1985,6,0.00,13.20,26.60
1985,7,0.00,14.20,28.60
1985,8,0.00,0.80,0.80
1985,9,0.00,2.00,2.00
1985,10,0.00,21.60,55.80
1985,11,0.00,64.00,236.00
1985,12,0.00,34.20,58.00
1986,1,0.00,228.00,491.40
1986,2,0.00,120.00,333.10
1986,3,0.00,34.80,89.20
1986,4,0.00,115.00,144.80
1986,5,0.00,35.20,75.00
1986,6,0.00,2.00,5.40
1986,7,0.00,5.40,22.20
1986,8,0.00,25.00,49.60
1986,9,0.00,116.40,247.20
1986,10,0.00,54.80,166.30
1986,11,0.00,20.00,85.20
1986,12,0.00,77.80,175.00
1987,1,0.00,35.00,136.40
1987,2,0.00,80.00,273.40
1987,3,0.00,142.00,261.30
1987,4,0.00,35.60,73.00
1987,5,0.00,11.00,41.00
1987,6,0.00,29.80,40.60
1987,7,0.00,7.00,15.40
1987,8,0.00,29.50,44.10
1987,9,0.00,4.00,9.40
1987,10,0.00,16.40,54.00
1987,11,0.00,45.20,155.40
1987,12,0.00,70.00,194.00
1988,1,0.00,52.60,189.60
1988,2,0.00,224.00,552.80
1988,3,0.00,14.00,43.00
1988,4,0.00,82.00,166.50
1988,5,0.00,26.00,58.20
1988,6,0.00,134.80,140.20
1988,7,0.00,2.80,5.00
1988,8,0.00,49.60,53.20
1988,9,0.00,3.80,5.60
1988,10,0.00,12.00,43.60
1988,11,0.00,44.00,210.20
1988,12,0.00,71.40,335.80
1989,1,0.00,26.00,108.70
1989,2,0.00,64.00,274.80
1989,3,0.00,110.00,508.20
1989,4,0.00,82.00,263.20
1989,5,0.00,90.00,189.20
1989,6,0.00,25.00,56.80
1989,7,0.00,18.00,40.20
1989,8,0.00,27.00,39.00
1989,9,0.00,1.40,2.00
1989,10,0.00,43.00,54.40
1989,11,0.00,32.00,159.90
1989,12,0.00,53.00,86.80
1990,1,0.00,18.00,67.70
1990,2,0.00,24.80,110.20
1990,3,0.00,168.00,940.70
1990,4,0.00,74.20,339.40
1990,5,0.00,30.40,65.40
1990,6,0.00,84.00,91.20
1990,7,0.00,14.00,36.20
1990,8,0.00,3.00,3.20
1990,9,0.00,0.00,0.00
1990,10,0.00,12.00,30.40
1990,11,0.00,1.40,3.60
1990,12,0.00,60.00,251.00
1991,1,0.00,140.00,824.60
1991,2,0.00,121.80,1084.80
1991,3,0.00,48.40,73.00
1991,4,0.00,21.20,84.80
1991,5,0.00,22.00,64.80
1991,6,0.00,3.20,4.20
1991,7,0.00,7.20,18.80
1991,8,0.00,0.00,0.00
1991,9,0.00,0.00,0.00
1991,10,0.00,20.40,25.80
1991,11,0.00,61.60,164.20
1991,12,0.00,38.60,113.60
1992,1,0.00,12.60,48.20
1992,2,0.00,121.10,516.70
1992,3,0.00,196.00,426.10
1992,4,0.00,81.60,98.60
1992,5,0.00,26.00,105.00
1992,6,0.00,8.40,14.40
1992,7,0.00,5.00,10.60
1992,8,0.00,1.20,1.20
1992,9,0.00,43.00,103.80
1992,10,0.00,12.20,30.80
1992,11,0.00,36.80,90.20
1992,12,0.00,76.00,311.90
1993,1,0.00,107.00,384.20
1993,2,0.00,119.00,300.20
1993,3,0.00,28.40,139.20
1993,4,0.00,10.20,39.40
1993,5,0.00,10.00,36.00
1993,6,0.00,9.00,15.60
1993,7,0.00,6.00,29.40
1993,8,0.00,8.00,23.40
1993,9,0.00,20.00,85.80
1993,10,0.00,24.00,62.00
1993,11,0.00,10.00,36.60
1993,12,0.00,50.40,157.20
1994,1,0.00,325.00,547.00
1994,2,0.00,223.80,659.00
1994,3,0.00,32.00,120.00
1994,4,0.00,3.20,11.20
1994,5,0.00,6.00,14.00
1994,6,0.00,11.00,28.80
1994,7,0.00,0.00,0.00
1994,8,0.00,0.40,0.40
1994,9,0.00,3.20,7.80
1994,10,0.00,23.00,34.00
1994,11,0.00,27.60,47.40
1994,12,0.00,17.00,106.40
1995,1,0.00,62.00,156.60
1995,2,0.00,101.00,422.60
1995,3,0.00,50.00,100.40
1995,4,0.00,28.00,36.40
1995,5,0.00,26.00,69.20
1995,6,0.00,7.20,12.40
1995,7,0.00,1.40,1.40
1995,8,0.00,29.00,108.60
1995,9,0.00,1.80,4.60
